"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00014764","43.64222","-70.30444","13.7","2013-04-01","45","55","32"
"USW00014764","43.64222","-70.30444","13.7","2013-04-02","34","39","28"
"USW00014764","43.64222","-70.30444","13.7","2013-04-03","35","45","29"
"USW00014764","43.64222","-70.30444","13.7","2013-04-04","38","53","26"
"USW00014764","43.64222","-70.30444","13.7","2013-04-05","44","54","35"
"USW00014764","43.64222","-70.30444","13.7","2013-04-06","36","42","26"
"USW00014764","43.64222","-70.30444","13.7","2013-04-07","36","46","25"
"USW00014764","43.64222","-70.30444","13.7","2013-04-08","48","61","35"
"USW00014764","43.64222","-70.30444","13.7","2013-04-09","45","52","42"
"USW00014764","43.64222","-70.30444","13.7","2013-04-10","46","55","42"
"USW00014764","43.64222","-70.30444","13.7","2013-04-11","46","53","40"
"USW00014764","43.64222","-70.30444","13.7","2013-04-12","38","40","34"
"USW00014764","43.64222","-70.30444","13.7","2013-04-13","38","48","33"
"USW00014764","43.64222","-70.30444","13.7","2013-04-14","44","50","39"
"USW00014764","43.64222","-70.30444","13.7","2013-04-15","42","51","31"
"USW00014764","43.64222","-70.30444","13.7","2013-04-16","44","57","37"
"USW00014764","43.64222","-70.30444","13.7","2013-04-17","55","63","43"
"USW00014764","43.64222","-70.30444","13.7","2013-04-18","44","49","32"
"USW00014764","43.64222","-70.30444","13.7","2013-04-19","52","65","46"
"USW00014764","43.64222","-70.30444","13.7","2013-04-20","53","57","41"
"USW00014764","43.64222","-70.30444","13.7","2013-04-21","44","52","31"
"USW00014764","43.64222","-70.30444","13.7","2013-04-22","40","47","31"
"USW00014764","43.64222","-70.30444","13.7","2013-04-23","38","42","32"
"USW00014764","43.64222","-70.30444","13.7","2013-04-24","48","64","42"
"USW00014764","43.64222","-70.30444","13.7","2013-04-25","54","64","44"
"USW00014764","43.64222","-70.30444","13.7","2013-04-26","47","53","33"
"USW00014764","43.64222","-70.30444","13.7","2013-04-27","46","57","34"
"USW00014764","43.64222","-70.30444","13.7","2013-04-28","49","61","34"
"USW00014764","43.64222","-70.30444","13.7","2013-04-29","49","60","37"
"USW00014764","43.64222","-70.30444","13.7","2013-04-30","51","64","36"
"USW00014764","43.64222","-70.30444","13.7","2013-05-01","50","63","32"
"USW00014764","43.64222","-70.30444","13.7","2013-05-02","50","64","39"
"USW00014764","43.64222","-70.30444","13.7","2013-05-03","48","58","38"
"USW00014764","43.64222","-70.30444","13.7","2013-05-04","47","56","36"
"USW00014764","43.64222","-70.30444","13.7","2013-05-05","46","56","33"
"USW00014764","43.64222","-70.30444","13.7","2013-05-06","47","58","35"
"USW00014764","43.64222","-70.30444","13.7","2013-05-07","52","67","43"
"USW00014764","43.64222","-70.30444","13.7","2013-05-08","58","69","47"
"USW00014764","43.64222","-70.30444","13.7","2013-05-09","54","61","51"
"USW00014764","43.64222","-70.30444","13.7","2013-05-10","56","69","50"
"USW00014764","43.64222","-70.30444","13.7","2013-05-11","56","64","51"
"USW00014764","43.64222","-70.30444","13.7","2013-05-12","60","70","48"
"USW00014764","43.64222","-70.30444","13.7","2013-05-13","51","57","41"
"USW00014764","43.64222","-70.30444","13.7","2013-05-14","49","60","40"
"USW00014764","43.64222","-70.30444","13.7","2013-05-15","50","60","35"
"USW00014764","43.64222","-70.30444","13.7","2013-05-16","60","78","44"
"USW00014764","43.64222","-70.30444","13.7","2013-05-17","59","66","45"
"USW00014764","43.64222","-70.30444","13.7","2013-05-18","52","58","41"
"USW00014764","43.64222","-70.30444","13.7","2013-05-19","51","57","49"
"USW00014764","43.64222","-70.30444","13.7","2013-05-20","56","70","43"
"USW00014764","43.64222","-70.30444","13.7","2013-05-21","53","55","48"
"USW00014764","43.64222","-70.30444","13.7","2013-05-22","51","55","49"
"USW00014764","43.64222","-70.30444","13.7","2013-05-23","53","64","48"
"USW00014764","43.64222","-70.30444","13.7","2013-05-24","61","66","49"
"USW00014764","43.64222","-70.30444","13.7","2013-05-25","50","54","46"
"USW00014764","43.64222","-70.30444","13.7","2013-05-26","49","57","44"
"USW00014764","43.64222","-70.30444","13.7","2013-05-27","54","68","40"
"USW00014764","43.64222","-70.30444","13.7","2013-05-28","56","69","41"
"USW00014764","43.64222","-70.30444","13.7","2013-05-29","54","58","50"
"USW00014764","43.64222","-70.30444","13.7","2013-05-30","68","85","55"
"USW00014764","43.64222","-70.30444","13.7","2013-05-31","76","92","58"
"USW00014764","43.64222","-70.30444","13.7","2013-06-01","78","90","63"
"USW00014764","43.64222","-70.30444","13.7","2013-06-02","75","79","67"
"USW00014764","43.64222","-70.30444","13.7","2013-06-03","68","75","56"
"USW00014764","43.64222","-70.30444","13.7","2013-06-04","61","66","51"
"USW00014764","43.64222","-70.30444","13.7","2013-06-05","59","69","47"
"USW00014764","43.64222","-70.30444","13.7","2013-06-06","59","66","54"
"USW00014764","43.64222","-70.30444","13.7","2013-06-07","55","58","51"
"USW00014764","43.64222","-70.30444","13.7","2013-06-08","58","73","53"
"USW00014764","43.64222","-70.30444","13.7","2013-06-09","65","76","56"
"USW00014764","43.64222","-70.30444","13.7","2013-06-10","61","65","52"
"USW00014764","43.64222","-70.30444","13.7","2013-06-11","56","58","54"
